INFO  - 2015-06-04 12:43:30.908; com.mongodb.diagnostics.logging.SLF4JLogger; Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
INFO  - 2015-06-04 12:43:31.009; com.mongodb.diagnostics.logging.SLF4JLogger; No server chosen by ReadPreferenceServerSelector{readPreference=primary} from cluster description ClusterDescription{type=UNKNOWN, connectionMode=SINGLE, all=[ServerDescription{address=localhost:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
INFO  - 2015-06-04 12:43:31.017; com.mongodb.diagnostics.logging.SLF4JLogger; Opened connection [connectionId{localValue:1, serverValue:20}] to localhost:27017
INFO  - 2015-06-04 12:43:31.018; com.mongodb.diagnostics.logging.SLF4JLogger; Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[3, 0, 2]}, minWireVersion=0, maxWireVersion=3, electionId=null, maxDocumentSize=16777216, roundTripTimeNanos=421637}
INFO  - 2015-06-04 12:43:31.023; com.mongodb.diagnostics.logging.SLF4JLogger; Opened connection [connectionId{localValue:2, serverValue:21}] to localhost:27017
INFO  - 2015-06-04 12:44:58.949; com.mongodb.diagnostics.logging.SLF4JLogger; Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
INFO  - 2015-06-04 12:44:59.050; com.mongodb.diagnostics.logging.SLF4JLogger; No server chosen by ReadPreferenceServerSelector{readPreference=primary} from cluster description ClusterDescription{type=UNKNOWN, connectionMode=SINGLE, all=[ServerDescription{address=localhost:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
INFO  - 2015-06-04 12:44:59.059; com.mongodb.diagnostics.logging.SLF4JLogger; Opened connection [connectionId{localValue:1, serverValue:22}] to localhost:27017
INFO  - 2015-06-04 12:44:59.060; com.mongodb.diagnostics.logging.SLF4JLogger; Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[3, 0, 2]}, minWireVersion=0, maxWireVersion=3, electionId=null, maxDocumentSize=16777216, roundTripTimeNanos=414069}
INFO  - 2015-06-04 12:44:59.064; com.mongodb.diagnostics.logging.SLF4JLogger; Opened connection [connectionId{localValue:2, serverValue:23}] to localhost:27017
INFO  - 2015-06-04 12:45:50.657; com.mongodb.diagnostics.logging.SLF4JLogger; Cluster created with settings {hosts=[127.0.0.1:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
INFO  - 2015-06-04 12:45:50.759; com.mongodb.diagnostics.logging.SLF4JLogger; No server chosen by ReadPreferenceServerSelector{readPreference=primary} from cluster description ClusterDescription{type=UNKNOWN, connectionMode=SINGLE, all=[ServerDescription{address=127.0.0.1:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
INFO  - 2015-06-04 12:45:50.768; com.mongodb.diagnostics.logging.SLF4JLogger; Opened connection [connectionId{localValue:1, serverValue:24}] to 127.0.0.1:27017
INFO  - 2015-06-04 12:45:50.769; com.mongodb.diagnostics.logging.SLF4JLogger; Monitor thread successfully connected to server with description ServerDescription{address=127.0.0.1:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[3, 0, 2]}, minWireVersion=0, maxWireVersion=3, electionId=null, maxDocumentSize=16777216, roundTripTimeNanos=412850}
INFO  - 2015-06-04 12:45:50.773; com.mongodb.diagnostics.logging.SLF4JLogger; Opened connection [connectionId{localValue:2, serverValue:25}] to 127.0.0.1:27017
INFO  - 2015-06-04 13:01:39.823; com.mongodb.diagnostics.logging.SLF4JLogger; Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
INFO  - 2015-06-04 13:01:39.925; com.mongodb.diagnostics.logging.SLF4JLogger; No server chosen by ReadPreferenceServerSelector{readPreference=primary} from cluster description ClusterDescription{type=UNKNOWN, connectionMode=SINGLE, all=[ServerDescription{address=localhost:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
INFO  - 2015-06-04 13:01:39.933; com.mongodb.diagnostics.logging.SLF4JLogger; Opened connection [connectionId{localValue:1, serverValue:36}] to localhost:27017
INFO  - 2015-06-04 13:01:39.934; com.mongodb.diagnostics.logging.SLF4JLogger; Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[3, 0, 2]}, minWireVersion=0, maxWireVersion=3, electionId=null, maxDocumentSize=16777216, roundTripTimeNanos=422156}
INFO  - 2015-06-04 13:01:39.939; com.mongodb.diagnostics.logging.SLF4JLogger; Opened connection [connectionId{localValue:2, serverValue:37}] to localhost:27017
INFO  - 2015-06-04 13:02:02.885; com.mongodb.diagnostics.logging.SLF4JLogger; Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
INFO  - 2015-06-04 13:02:02.986; com.mongodb.diagnostics.logging.SLF4JLogger; No server chosen by ReadPreferenceServerSelector{readPreference=primary} from cluster description ClusterDescription{type=UNKNOWN, connectionMode=SINGLE, all=[ServerDescription{address=localhost:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
INFO  - 2015-06-04 13:02:02.994; com.mongodb.diagnostics.logging.SLF4JLogger; Opened connection [connectionId{localValue:1, serverValue:38}] to localhost:27017
INFO  - 2015-06-04 13:02:02.995; com.mongodb.diagnostics.logging.SLF4JLogger; Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[3, 0, 2]}, minWireVersion=0, maxWireVersion=3, electionId=null, maxDocumentSize=16777216, roundTripTimeNanos=426240}
INFO  - 2015-06-04 13:02:03.000; com.mongodb.diagnostics.logging.SLF4JLogger; Opened connection [connectionId{localValue:2, serverValue:39}] to localhost:27017
INFO  - 2015-06-04 13:02:10.554; com.mongodb.diagnostics.logging.SLF4JLogger; Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
INFO  - 2015-06-04 13:02:10.657; com.mongodb.diagnostics.logging.SLF4JLogger; No server chosen by ReadPreferenceServerSelector{readPreference=primary} from cluster description ClusterDescription{type=UNKNOWN, connectionMode=SINGLE, all=[ServerDescription{address=localhost:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
INFO  - 2015-06-04 13:02:10.665; com.mongodb.diagnostics.logging.SLF4JLogger; Opened connection [connectionId{localValue:1, serverValue:40}] to localhost:27017
INFO  - 2015-06-04 13:02:10.666; com.mongodb.diagnostics.logging.SLF4JLogger; Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[3, 0, 2]}, minWireVersion=0, maxWireVersion=3, electionId=null, maxDocumentSize=16777216, roundTripTimeNanos=417417}
INFO  - 2015-06-04 13:02:10.671; com.mongodb.diagnostics.logging.SLF4JLogger; Opened connection [connectionId{localValue:2, serverValue:41}] to localhost:27017
INFO  - 2015-06-04 13:02:15.626; com.mongodb.diagnostics.logging.SLF4JLogger; Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
INFO  - 2015-06-04 13:02:15.726; com.mongodb.diagnostics.logging.SLF4JLogger; No server chosen by ReadPreferenceServerSelector{readPreference=primary} from cluster description ClusterDescription{type=UNKNOWN, connectionMode=SINGLE, all=[ServerDescription{address=localhost:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
INFO  - 2015-06-04 13:02:15.735; com.mongodb.diagnostics.logging.SLF4JLogger; Opened connection [connectionId{localValue:1, serverValue:42}] to localhost:27017
INFO  - 2015-06-04 13:02:15.736; com.mongodb.diagnostics.logging.SLF4JLogger; Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[3, 0, 2]}, minWireVersion=0, maxWireVersion=3, electionId=null, maxDocumentSize=16777216, roundTripTimeNanos=413841}
INFO  - 2015-06-04 13:02:15.741; com.mongodb.diagnostics.logging.SLF4JLogger; Opened connection [connectionId{localValue:2, serverValue:43}] to localhost:27017
INFO  - 2015-06-04 13:15:13.794; com.mongodb.diagnostics.logging.SLF4JLogger; Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
INFO  - 2015-06-04 13:15:13.896; com.mongodb.diagnostics.logging.SLF4JLogger; No server chosen by ReadPreferenceServerSelector{readPreference=primary} from cluster description ClusterDescription{type=UNKNOWN, connectionMode=SINGLE, all=[ServerDescription{address=localhost:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
INFO  - 2015-06-04 13:15:13.904; com.mongodb.diagnostics.logging.SLF4JLogger; Opened connection [connectionId{localValue:1, serverValue:44}] to localhost:27017
INFO  - 2015-06-04 13:15:13.905; com.mongodb.diagnostics.logging.SLF4JLogger; Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[3, 0, 2]}, minWireVersion=0, maxWireVersion=3, electionId=null, maxDocumentSize=16777216, roundTripTimeNanos=421484}
INFO  - 2015-06-04 13:15:13.910; com.mongodb.diagnostics.logging.SLF4JLogger; Opened connection [connectionId{localValue:2, serverValue:45}] to localhost:27017
